sleepHours,exerciseMinutes,mood,stress,discipline,empathy,label
8,38,4,1,4,1,Sangat Baik
5,21,3,4,5,3,Perlu Perhatian
10,25,3,4,3,2,Sangat Baik
5,43,4,4,4,4,Perlu Perhatian
4,24,5,1,1,3,Perlu Perhatian
7,16,4,4,1,1,Perlu Perhatian
10,12,5,1,3,5,Sangat Baik
4,19,3,4,5,5,Perlu Perhatian
7,24,1,5,2,1,Perlu Perhatian
5,3,3,4,3,1,Perlu Perhatian
4,9,3,2,4,5,Perlu Perhatian
10,2,2,4,4,3,Baik
10,40,2,3,1,5,Perlu Perhatian
9,44,2,4,4,1,Baik
8,17,2,2,3,4,Baik
6,46,5,2,4,2,Baik
7,35,4,1,3,4,Baik
9,46,1,5,2,4,Perlu Perhatian
6,21,3,4,1,1,Perlu Perhatian
6,33,5,1,4,5,Baik
4,46,1,5,3,3,Perlu Perhatian
6,7,5,4,5,4,Baik
8,39,5,3,1,5,Perlu Perhatian
10,48,3,4,2,3,Baik
9,43,4,2,3,4,Sangat Baik
6,18,2,2,2,3,Baik
4,41,4,3,2,5,Perlu Perhatian
8,40,3,1,4,2,Sangat Baik
5,36,3,5,4,5,Perlu Perhatian
10,5,3,4,3,1,Sangat Baik
10,51,1,2,5,3,Perlu Perhatian
9,25,4,1,3,2,Sangat Baik
10,33,4,3,5,3,Luar Biasa
6,58,5,2,2,3,Baik
4,55,5,3,1,4,Perlu Perhatian
10,58,5,4,3,1,Sangat Baik
10,44,3,5,3,3,Sangat Baik
5,5,4,2,5,5,Perlu Perhatian
5,36,3,2,2,5,Perlu Perhatian
7,56,1,4,2,4,Perlu Perhatian
8,32,5,1,5,1,Sangat Baik
6,52,3,5,2,1,Baik
10,21,3,2,4,5,Sangat Baik
10,20,1,5,1,2,Perlu Perhatian
4,5,2,2,3,4,Perlu Perhatian
7,5,4,5,1,4,Perlu Perhatian
8,54,2,3,3,5,Baik
7,47,5,2,4,5,Baik
9,3,3,5,2,2,Baik
8,29,1,1,5,2,Perlu Perhatian
10,10,1,3,4,1,Perlu Perhatian
10,29,4,3,1,4,Perlu Perhatian
8,30,2,1,5,4,Baik
10,23,4,5,2,5,Baik
6,54,3,4,4,1,Baik
8,8,4,1,5,4,Sangat Baik
7,54,1,5,4,1,Perlu Perhatian
8,2,1,1,4,1,Perlu Perhatian
10,50,5,1,2,5,Baik
6,30,5,2,3,1,Baik
6,39,3,5,5,2,Baik
9,36,2,4,2,2,Baik
7,35,4,2,4,3,Baik
5,23,3,1,2,5,Perlu Perhatian
5,30,5,1,3,3,Perlu Perhatian
8,5,4,1,5,2,Sangat Baik
9,1,5,5,3,3,Sangat Baik
4,19,4,5,1,5,Perlu Perhatian
8,27,2,2,5,5,Baik
9,10,3,4,3,1,Sangat Baik
7,3,4,2,4,4,Baik
7,14,1,3,5,1,Perlu Perhatian
7,5,1,1,5,5,Perlu Perhatian
7,53,4,1,2,2,Baik
7,48,4,1,4,2,Baik
9,29,4,2,1,1,Perlu Perhatian
9,55,1,2,3,5,Perlu Perhatian
6,37,1,1,2,2,Perlu Perhatian
5,50,4,2,3,5,Perlu Perhatian
10,56,5,5,1,2,Perlu Perhatian
7,1,5,5,1,5,Perlu Perhatian
4,14,2,2,5,3,Perlu Perhatian
10,10,3,1,1,5,Perlu Perhatian
9,7,5,2,3,5,Sangat Baik
4,25,1,2,4,1,Perlu Perhatian
4,50,5,2,4,3,Perlu Perhatian
4,44,2,3,5,4,Perlu Perhatian
6,43,2,5,3,1,Baik
9,4,3,4,3,4,Sangat Baik
4,5,5,4,1,2,Perlu Perhatian
7,25,1,3,3,4,Perlu Perhatian
8,53,1,2,2,5,Perlu Perhatian
4,3,4,3,1,4,Perlu Perhatian
6,18,1,3,2,1,Perlu Perhatian
10,19,3,1,5,1,Sangat Baik
9,32,3,5,4,4,Sangat Baik
6,19,1,4,5,1,Perlu Perhatian
4,48,1,2,4,1,Perlu Perhatian
9,11,4,4,5,4,Luar Biasa
8,46,1,4,3,3,Perlu Perhatian
4,0,4,5,2,3,Perlu Perhatian
6,25,4,4,4,2,Baik
5,13,1,4,1,1,Perlu Perhatian
7,37,2,3,2,4,Baik
10,36,2,5,1,1,Perlu Perhatian
6,10,4,1,2,5,Baik
9,35,1,2,2,1,Perlu Perhatian
4,12,2,4,5,1,Perlu Perhatian
7,42,1,2,4,3,Perlu Perhatian
4,2,1,1,4,4,Perlu Perhatian
9,32,1,2,2,1,Perlu Perhatian
4,5,5,1,3,3,Perlu Perhatian
5,49,1,3,3,2,Perlu Perhatian
7,55,5,4,1,3,Perlu Perhatian
7,9,4,1,1,3,Perlu Perhatian
9,4,2,2,5,3,Baik
10,22,2,4,2,1,Baik
5,9,2,3,1,1,Perlu Perhatian
6,43,2,4,1,2,Perlu Perhatian
4,1,2,1,2,5,Perlu Perhatian
8,12,2,3,5,5,Baik
4,39,2,2,1,5,Perlu Perhatian
4,1,4,3,5,2,Perlu Perhatian
6,19,1,3,4,5,Perlu Perhatian
4,0,3,5,5,5,Perlu Perhatian
5,36,5,3,3,3,Perlu Perhatian
5,8,3,3,3,1,Perlu Perhatian
7,16,3,4,5,1,Baik
9,8,1,2,3,3,Perlu Perhatian
10,10,1,4,4,3,Perlu Perhatian
8,14,1,4,2,3,Perlu Perhatian
4,23,2,1,3,1,Perlu Perhatian
4,37,4,4,3,5,Perlu Perhatian
6,54,2,5,5,3,Baik
9,34,4,5,4,2,Luar Biasa
5,29,4,1,2,3,Perlu Perhatian
8,30,3,2,5,4,Sangat Baik
7,48,3,2,5,3,Baik
5,4,4,4,4,1,Perlu Perhatian
9,59,4,4,2,3,Baik
10,43,2,4,4,4,Baik
7,49,2,2,2,2,Baik
10,13,3,3,4,5,Sangat Baik
6,52,1,5,5,3,Perlu Perhatian
6,55,4,3,5,4,Baik
4,10,2,3,1,4,Perlu Perhatian
10,8,3,2,3,2,Sangat Baik
9,33,2,3,4,1,Baik
8,11,4,1,1,3,Perlu Perhatian
7,34,4,4,3,4,Baik
5,34,5,1,4,2,Perlu Perhatian
9,0,1,5,2,5,Perlu Perhatian
9,39,5,4,3,4,Sangat Baik
6,21,3,3,5,2,Baik
10,59,2,5,1,1,Perlu Perhatian
4,28,3,4,3,1,Perlu Perhatian
4,7,4,3,3,4,Perlu Perhatian
7,10,5,1,5,4,Baik
6,40,5,4,4,3,Baik
9,36,5,3,2,2,Baik
8,13,3,1,5,4,Sangat Baik
6,59,4,5,2,3,Baik
7,29,2,5,4,3,Baik
7,34,2,5,3,4,Baik
6,20,3,5,2,1,Baik
7,36,5,2,1,2,Perlu Perhatian
6,4,1,4,1,2,Perlu Perhatian
5,18,3,4,5,1,Perlu Perhatian
6,58,3,2,4,4,Baik
10,13,4,3,5,2,Luar Biasa
6,25,2,3,5,4,Baik
7,3,3,5,5,4,Baik
10,24,3,1,1,3,Perlu Perhatian
7,44,5,3,1,1,Perlu Perhatian
4,41,5,1,5,4,Perlu Perhatian
4,24,1,4,1,5,Perlu Perhatian
10,17,4,1,4,1,Luar Biasa
5,39,1,4,5,2,Perlu Perhatian
4,7,5,2,1,3,Perlu Perhatian
6,38,2,2,2,2,Baik
7,39,5,5,5,2,Baik
4,13,4,3,5,1,Perlu Perhatian
4,31,5,5,4,2,Perlu Perhatian
5,50,4,4,3,4,Perlu Perhatian
10,60,4,5,3,2,Sangat Baik
10,37,4,1,4,3,Luar Biasa
9,32,4,4,4,3,Luar Biasa
5,22,4,2,4,5,Perlu Perhatian
6,14,2,3,3,3,Baik
10,32,1,4,4,2,Perlu Perhatian
7,24,3,4,1,3,Perlu Perhatian
5,16,1,1,5,1,Perlu Perhatian
4,32,4,3,5,3,Perlu Perhatian
7,46,2,2,2,4,Baik
7,54,5,4,2,1,Baik
4,1,2,4,5,5,Perlu Perhatian
5,13,4,1,1,4,Perlu Perhatian
4,52,2,5,3,2,Perlu Perhatian
9,39,2,2,3,2,Baik
7,39,4,3,1,2,Perlu Perhatian
8,50,2,4,3,4,Baik
8,38,3,4,4,4,Sangat Baik
6,50,3,2,5,4,Baik
10,5,2,5,5,1,Baik
4,5,5,4,1,1,Perlu Perhatian
4,2,4,2,3,2,Perlu Perhatian
6,6,3,1,2,3,Baik
6,50,5,5,2,2,Baik
6,7,2,3,3,5,Baik
7,41,5,4,2,1,Baik
9,51,1,2,1,4,Perlu Perhatian
4,14,3,1,1,1,Perlu Perhatian
7,46,2,3,3,4,Baik
6,28,4,2,2,5,Baik
4,32,2,2,1,5,Perlu Perhatian
7,51,4,3,1,1,Perlu Perhatian
9,29,2,1,4,4,Baik
7,38,5,1,4,5,Baik
9,26,5,5,1,2,Perlu Perhatian
6,35,5,4,3,2,Baik
9,28,1,3,5,4,Perlu Perhatian
4,37,4,3,5,1,Perlu Perhatian
6,56,5,3,1,5,Perlu Perhatian
4,32,1,1,1,1,Perlu Perhatian
8,60,4,4,1,2,Perlu Perhatian
5,36,2,5,3,5,Perlu Perhatian
9,26,1,2,4,1,Perlu Perhatian
5,54,3,2,1,3,Perlu Perhatian
5,32,1,3,1,4,Perlu Perhatian
9,3,1,4,2,4,Perlu Perhatian
6,21,4,1,3,3,Baik
8,1,2,4,1,2,Perlu Perhatian
4,9,3,4,2,5,Perlu Perhatian
7,4,5,1,5,4,Baik
4,58,5,3,1,3,Perlu Perhatian
7,9,1,4,1,3,Perlu Perhatian
4,32,4,2,2,2,Perlu Perhatian
9,53,4,1,3,2,Sangat Baik
8,37,5,5,1,1,Perlu Perhatian
7,12,3,3,5,4,Baik
10,30,2,1,1,1,Perlu Perhatian
6,46,3,5,5,3,Baik
4,35,2,5,4,5,Perlu Perhatian
4,44,5,4,4,5,Perlu Perhatian
7,23,2,4,5,2,Baik
6,51,4,4,3,5,Baik
6,55,1,1,1,5,Perlu Perhatian
9,14,1,1,1,5,Perlu Perhatian
10,28,5,3,4,3,Luar Biasa
9,7,4,4,5,5,Luar Biasa
9,4,3,5,1,5,Perlu Perhatian
9,28,4,2,1,5,Perlu Perhatian
9,46,1,3,3,1,Perlu Perhatian
9,3,1,1,2,3,Perlu Perhatian
8,11,4,3,4,2,Sangat Baik
6,44,4,3,4,1,Baik
9,1,1,3,2,4,Perlu Perhatian
6,26,3,3,1,3,Perlu Perhatian
6,30,5,2,3,3,Baik
5,50,5,4,3,4,Perlu Perhatian
8,50,4,5,4,4,Sangat Baik
9,35,5,3,3,4,Sangat Baik
4,35,1,3,2,2,Perlu Perhatian
7,25,1,3,1,5,Perlu Perhatian
10,42,4,4,2,3,Baik
4,26,4,1,5,5,Perlu Perhatian
8,4,4,1,4,5,Sangat Baik
7,19,3,2,3,4,Baik
8,10,5,1,5,2,Sangat Baik
6,9,4,3,3,1,Baik
7,39,2,3,1,2,Perlu Perhatian
6,37,2,3,1,5,Perlu Perhatian
4,5,1,2,1,2,Perlu Perhatian
4,7,5,3,3,4,Perlu Perhatian
7,22,4,1,5,1,Baik
7,46,2,4,1,4,Perlu Perhatian
9,25,5,4,5,1,Luar Biasa
8,45,1,5,3,5,Perlu Perhatian
9,42,3,1,5,1,Sangat Baik
8,11,5,3,3,1,Sangat Baik
9,25,5,4,3,1,Sangat Baik
6,12,3,1,4,2,Baik
7,39,5,4,3,2,Baik
4,17,1,3,3,5,Perlu Perhatian
8,24,1,4,2,1,Perlu Perhatian
8,32,3,5,1,3,Perlu Perhatian
4,46,4,5,4,5,Perlu Perhatian
9,39,2,4,4,1,Baik
8,59,4,1,4,1,Sangat Baik
10,42,5,1,2,2,Baik
6,11,2,1,3,5,Baik
7,43,3,4,1,1,Perlu Perhatian
4,35,3,1,5,1,Perlu Perhatian
7,47,2,3,3,5,Baik
10,3,1,5,2,3,Perlu Perhatian
8,4,2,3,3,5,Baik
8,55,5,1,3,5,Sangat Baik
10,36,1,3,2,3,Perlu Perhatian
4,7,3,1,4,5,Perlu Perhatian
6,41,2,4,4,1,Baik
5,48,4,3,1,5,Perlu Perhatian
4,27,4,4,1,3,Perlu Perhatian
5,30,5,4,4,4,Perlu Perhatian
10,57,4,2,5,5,Luar Biasa
9,8,2,1,3,2,Baik
5,53,2,5,5,1,Perlu Perhatian
6,50,4,1,3,1,Baik
9,28,2,5,4,2,Baik
5,13,5,1,1,2,Perlu Perhatian
10,39,1,4,1,5,Perlu Perhatian
9,40,5,3,5,2,Luar Biasa
10,21,5,3,1,4,Perlu Perhatian
5,10,2,2,4,3,Perlu Perhatian
10,22,1,5,5,2,Perlu Perhatian
6,0,2,5,3,2,Baik
5,45,3,5,1,4,Perlu Perhatian
5,36,2,4,2,1,Perlu Perhatian
5,20,2,5,1,1,Perlu Perhatian
4,25,2,3,3,5,Perlu Perhatian
4,45,1,4,5,4,Perlu Perhatian
4,35,2,1,3,3,Perlu Perhatian
6,53,1,5,2,3,Perlu Perhatian
9,22,4,5,4,4,Luar Biasa
10,56,3,1,1,3,Perlu Perhatian
8,0,1,5,5,1,Perlu Perhatian
5,53,4,1,4,3,Perlu Perhatian
10,54,1,4,3,3,Perlu Perhatian
5,50,1,3,5,4,Perlu Perhatian
6,39,3,1,4,4,Baik
5,14,5,2,5,3,Perlu Perhatian
4,20,5,1,2,2,Perlu Perhatian
8,46,1,5,2,4,Perlu Perhatian
7,8,2,4,1,5,Perlu Perhatian
5,52,4,4,1,5,Perlu Perhatian
10,8,2,1,2,1,Baik
4,9,2,3,5,3,Perlu Perhatian
7,51,1,2,2,2,Perlu Perhatian
8,56,1,4,1,1,Perlu Perhatian
7,52,1,5,2,3,Perlu Perhatian
4,25,1,5,2,4,Perlu Perhatian
9,40,5,3,5,5,Luar Biasa
9,34,1,4,4,2,Perlu Perhatian
7,51,5,1,1,5,Perlu Perhatian
6,24,5,5,5,4,Baik
10,25,1,3,2,3,Perlu Perhatian
10,10,3,4,2,4,Baik
7,37,4,4,4,4,Baik
5,1,2,4,1,5,Perlu Perhatian
5,6,5,4,1,2,Perlu Perhatian
10,17,4,4,3,4,Sangat Baik
10,26,3,5,1,5,Perlu Perhatian
9,33,2,3,4,2,Baik
6,26,2,4,3,3,Baik
4,16,5,2,3,3,Perlu Perhatian
5,42,1,2,2,1,Perlu Perhatian
10,58,3,3,2,5,Baik
9,43,5,1,1,2,Perlu Perhatian
8,58,3,1,3,4,Sangat Baik
9,50,1,1,2,3,Perlu Perhatian
5,53,1,2,4,2,Perlu Perhatian
5,23,5,1,2,5,Perlu Perhatian
9,24,1,5,2,1,Perlu Perhatian
4,6,4,4,3,3,Perlu Perhatian
7,51,2,2,3,2,Baik
5,5,5,3,5,2,Perlu Perhatian
9,52,3,3,4,2,Sangat Baik
10,23,4,4,3,5,Sangat Baik
9,32,5,2,1,5,Perlu Perhatian
6,48,1,1,4,5,Perlu Perhatian
7,28,1,1,4,4,Perlu Perhatian
8,42,1,5,3,2,Perlu Perhatian
4,21,1,5,4,3,Perlu Perhatian
8,25,3,1,3,5,Sangat Baik
7,27,4,3,2,5,Baik
7,49,2,3,5,2,Baik
7,20,3,5,2,5,Baik
8,48,3,4,3,4,Sangat Baik
10,6,2,1,3,4,Baik
7,16,2,5,2,5,Baik
9,19,1,5,1,2,Perlu Perhatian
8,40,3,1,1,2,Perlu Perhatian
7,48,5,1,1,2,Perlu Perhatian
9,19,2,3,3,1,Baik
10,53,2,4,4,5,Baik
6,21,4,4,3,2,Baik
10,27,5,1,4,4,Luar Biasa
7,60,5,2,2,3,Baik
8,39,2,5,5,3,Baik
5,48,1,5,4,2,Perlu Perhatian
7,6,4,1,1,3,Perlu Perhatian
5,0,5,2,3,3,Perlu Perhatian
9,31,2,3,2,1,Baik
6,12,5,1,1,4,Perlu Perhatian
4,29,4,1,2,4,Perlu Perhatian
10,22,4,5,5,1,Luar Biasa
6,50,3,1,3,1,Baik
7,58,2,1,3,3,Baik
5,55,4,1,5,5,Perlu Perhatian
10,18,3,5,3,3,Sangat Baik
5,31,3,3,4,1,Perlu Perhatian
8,29,5,3,2,4,Baik
5,28,5,1,1,3,Perlu Perhatian
8,48,3,5,5,5,Sangat Baik
9,44,5,3,4,3,Luar Biasa
10,28,4,3,1,2,Perlu Perhatian
10,29,1,3,1,3,Perlu Perhatian
4,15,4,5,5,1,Perlu Perhatian
7,39,3,5,4,4,Baik
8,18,3,1,1,4,Perlu Perhatian
4,17,4,4,1,1,Perlu Perhatian
5,0,5,3,4,2,Perlu Perhatian
5,13,5,4,3,1,Perlu Perhatian
4,50,3,5,1,3,Perlu Perhatian
10,46,2,5,2,1,Baik
5,49,5,5,4,1,Perlu Perhatian
9,1,4,4,1,2,Perlu Perhatian
9,53,5,5,5,3,Luar Biasa
4,27,4,1,2,5,Perlu Perhatian
8,48,3,5,1,5,Perlu Perhatian
8,49,5,2,2,4,Baik
4,29,4,4,2,1,Perlu Perhatian
8,37,3,2,3,4,Sangat Baik
10,50,2,5,2,2,Baik
10,3,4,1,3,5,Sangat Baik
8,0,2,3,4,1,Baik
9,7,2,5,3,2,Baik
8,28,1,1,5,2,Perlu Perhatian
10,54,5,4,1,1,Perlu Perhatian
6,38,4,2,4,2,Baik
7,2,2,2,4,1,Baik
5,31,1,2,5,1,Perlu Perhatian
6,9,3,4,3,3,Baik
8,9,4,1,1,4,Perlu Perhatian
9,18,2,4,3,2,Baik
4,45,5,2,2,2,Perlu Perhatian
8,33,1,5,3,3,Perlu Perhatian
9,59,2,3,4,3,Baik
7,32,5,4,1,3,Perlu Perhatian
8,22,2,4,3,5,Baik
10,54,4,1,1,5,Perlu Perhatian
4,27,4,1,1,5,Perlu Perhatian
9,31,4,4,2,1,Baik
9,49,1,2,2,2,Perlu Perhatian
9,6,4,3,4,4,Luar Biasa
7,28,5,1,5,1,Baik
8,7,2,2,1,2,Perlu Perhatian
7,0,3,5,5,2,Baik
5,56,5,1,4,3,Perlu Perhatian
5,54,5,2,1,3,Perlu Perhatian
8,2,4,2,1,1,Perlu Perhatian
10,23,1,3,5,3,Perlu Perhatian
7,22,2,3,3,2,Baik
4,58,1,5,2,3,Perlu Perhatian
9,60,2,2,3,5,Baik
9,7,2,2,5,3,Baik
8,53,1,3,2,2,Perlu Perhatian
10,56,5,1,3,1,Sangat Baik
5,46,2,1,2,4,Perlu Perhatian
5,36,1,4,1,3,Perlu Perhatian
9,2,2,3,3,2,Baik
8,50,3,4,2,4,Baik
7,32,5,3,2,4,Baik
5,27,4,5,2,5,Perlu Perhatian
7,46,2,2,3,4,Baik
10,7,3,5,4,2,Sangat Baik
5,33,4,3,3,2,Perlu Perhatian
5,34,4,2,5,3,Perlu Perhatian
6,31,2,1,3,3,Baik
5,23,1,1,2,3,Perlu Perhatian
4,13,2,4,1,4,Perlu Perhatian
8,31,3,3,3,4,Sangat Baik
8,55,4,3,3,5,Sangat Baik
7,45,2,1,2,3,Baik
10,42,1,5,1,1,Perlu Perhatian
5,15,2,2,1,5,Perlu Perhatian
4,3,5,5,5,1,Perlu Perhatian
7,51,1,5,3,4,Perlu Perhatian
6,36,3,1,1,5,Perlu Perhatian
7,53,4,1,1,5,Perlu Perhatian
7,20,2,1,4,2,Baik
5,13,1,4,4,4,Perlu Perhatian
6,30,5,5,1,4,Perlu Perhatian
7,54,1,3,5,5,Perlu Perhatian
4,47,5,2,1,4,Perlu Perhatian
4,17,3,4,2,5,Perlu Perhatian
8,6,4,3,3,2,Sangat Baik
6,9,3,5,5,5,Baik
6,6,2,1,2,4,Baik
8,32,1,5,5,4,Perlu Perhatian
7,22,5,2,2,5,Baik
6,20,5,4,3,5,Baik
4,18,1,4,3,5,Perlu Perhatian
4,47,1,2,4,3,Perlu Perhatian
5,60,2,3,2,4,Perlu Perhatian
6,18,3,3,4,4,Baik
7,35,5,4,2,3,Baik
8,28,2,4,4,5,Baik
8,59,3,1,3,2,Sangat Baik
7,17,2,3,5,5,Baik
10,1,5,2,4,5,Luar Biasa
9,0,1,3,2,3,Perlu Perhatian
5,46,1,1,2,4,Perlu Perhatian
8,4,3,4,3,5,Sangat Baik
6,19,4,4,2,4,Baik
5,10,3,1,1,1,Perlu Perhatian
6,41,4,2,5,4,Baik
10,1,2,4,4,2,Baik
4,2,2,5,5,2,Perlu Perhatian
5,22,5,4,3,5,Perlu Perhatian
8,54,4,5,4,4,Sangat Baik
5,11,5,1,4,5,Perlu Perhatian
5,19,1,1,1,3,Perlu Perhatian
5,4,4,4,3,2,Perlu Perhatian
9,36,3,3,2,5,Baik
5,37,1,5,1,3,Perlu Perhatian
6,29,1,2,1,5,Perlu Perhatian
4,8,3,4,5,4,Perlu Perhatian
10,33,1,2,5,4,Perlu Perhatian
7,52,4,4,5,4,Baik
5,43,5,3,1,4,Perlu Perhatian
8,34,1,3,2,1,Perlu Perhatian
5,51,4,3,4,3,Perlu Perhatian
8,57,2,3,5,3,Baik
6,21,4,1,2,4,Baik
8,43,5,1,3,1,Sangat Baik
7,23,4,5,5,4,Baik
4,16,3,2,4,1,Perlu Perhatian
8,9,5,4,3,4,Sangat Baik
8,29,2,4,3,2,Baik
4,55,3,1,4,2,Perlu Perhatian
7,58,4,4,5,5,Baik
5,45,5,1,1,4,Perlu Perhatian
8,22,2,5,4,3,Baik
4,31,3,2,4,5,Perlu Perhatian
6,16,2,5,4,2,Baik
4,49,4,3,3,4,Perlu Perhatian
6,50,2,3,2,5,Baik
7,16,1,3,1,4,Perlu Perhatian
5,13,3,5,5,2,Perlu Perhatian
4,8,2,4,5,5,Perlu Perhatian
10,39,4,2,2,2,Baik
10,1,4,3,4,1,Luar Biasa
9,44,2,3,1,2,Perlu Perhatian
8,24,4,3,5,4,Sangat Baik
7,38,5,2,5,3,Baik
4,8,5,3,4,2,Perlu Perhatian
10,53,5,2,2,3,Baik
8,21,1,3,1,1,Perlu Perhatian
10,42,2,5,2,5,Baik
4,45,1,5,2,5,Perlu Perhatian
6,3,4,2,1,3,Perlu Perhatian
4,25,1,5,1,5,Perlu Perhatian
9,57,4,2,5,2,Luar Biasa
4,28,4,5,5,3,Perlu Perhatian
4,44,3,5,1,4,Perlu Perhatian
9,33,5,2,3,2,Sangat Baik
7,22,4,4,5,2,Baik
4,36,3,5,3,2,Perlu Perhatian
9,10,5,3,1,4,Perlu Perhatian
8,5,4,4,5,1,Sangat Baik
6,17,4,2,2,5,Baik
6,20,1,4,1,3,Perlu Perhatian
4,41,1,1,4,1,Perlu Perhatian
7,35,5,1,3,3,Baik
7,40,4,5,1,5,Perlu Perhatian
8,37,2,5,1,4,Perlu Perhatian
4,33,1,3,5,2,Perlu Perhatian
